name,city,forest,Season,active,Famous Forest for It,Food,Preferred Shelter Type,Unique Fact,Endemic Status,Conservation Status
Indian Star Tortoise,Bengaluru,Deciduous Forest,summer,night,Hemis National Park,Herbivore,Grasslands,Has the strongest bite force among big cats.,No,
King Cobra,Chennai,Thorn Forest,winter,morning,Sundarbans,Herbivore,Caves,The only lion species found outside Africa.,No,
Indian Elephant,Mumbai,Tropical Rainforest,monsoon,morning,Periyar Wildlife Sanctuary,Omnivore,Grasslands,Largest species of wild cattle.,No,
Indian Leopard,Bhopal,Mangrove,winter,night,Kaziranga National Park,Omnivore,Caves,Can run at speeds of up to 80 km/h.,No,Near Threatened
Asiatic Lion,Lucknow,Thorn Forest,winter,night,Kaziranga National Park,Herbivore,Burrows,The only lion species found outside Africa.,No,Critically Endangered
Indian Star Tortoise,Mumbai,Himalayan Forest,summer,night,Sundarbans,Carnivore,Caves,The only lion species found outside Africa.,No,
Indian Leopard,Bhopal,Himalayan Forest,winter,night,Kanha National Park,Insectivore,Dense Trees,The longest venomous snake in the world.,No,Near Threatened
Indian Star Tortoise,Dehradun,Deciduous Forest,summer,afternoon,Ranthambore National Park,Insectivore,Burrows,Has the strongest bite force among big cats.,No,
One-Horned Rhinoceros,Lucknow,Deciduous Forest,winter,morning,Kanha National Park,Insectivore,Caves,Can run at speeds of up to 80 km/h.,No,Near Threatened
Bengal Tiger,Bengaluru,Mangrove,winter,night,Bandhavgarh National Park,Carnivore,Grasslands,Can leap over 20 feet in a single bound.,No,
Indian Star Tortoise,Bhopal,Himalayan Forest,winter,afternoon,Jim Corbett National Park,Herbivore,Caves,Can communicate using low-frequency rumbles.,No,
Sloth Bear,Pune,Thorn Forest,summer,morning,Sundarbans,Carnivore,Grasslands,Uses its long tongue to extract termites from nests.,No,Near Threatened
Gaur,Mumbai,Tropical Rainforest,monsoon,morning,Ranthambore National Park,Insectivore,Rocky Terrain,The only lion species found outside Africa.,No,
Asiatic Lion,Lucknow,Deciduous Forest,summer,morning,Ranthambore National Park,Insectivore,Grasslands,Has a beautifully patterned shell for camouflage.,No,Critically Endangered
Indian Elephant,Hyderabad,Tropical Rainforest,monsoon,morning,Nagarhole National Park,Insectivore,Burrows,Has a beautifully patterned shell for camouflage.,No,
Gaur,Shimla,Deciduous Forest,winter,morning,Kanha National Park,Herbivore,Rocky Terrain,"Hunts in packs, similar to African wild dogs.",No,
Indian Cobra,Ranchi,Tropical Rainforest,monsoon,afternoon,Kaziranga National Park,Insectivore,Dense Trees,Has the strongest bite force among big cats.,No,
One-Horned Rhinoceros,Bengaluru,Mangrove,monsoon,night,Ranthambore National Park,Omnivore,Grasslands,Can run at speeds of up to 80 km/h.,No,Near Threatened
Indian Elephant,Bhopal,Deciduous Forest,winter,morning,Hemis National Park,Herbivore,Caves,The only lion species found outside Africa.,No,
Blackbuck,Ranchi,Himalayan Forest,monsoon,night,Nagarhole National Park,Carnivore,Grasslands,"Hunts in packs, similar to African wild dogs.",No,Least Concern
Indian Star Tortoise,Ranchi,Thorn Forest,monsoon,afternoon,Kanha National Park,Herbivore,Grasslands,Its venom is neurotoxic and highly potent.,No,
Snow Leopard,Pune,Himalayan Forest,monsoon,morning,Jim Corbett National Park,Herbivore,Caves,Survives in extreme cold temperatures.,No,
Indian Leopard,Shimla,Himalayan Forest,monsoon,night,Jim Corbett National Park,Omnivore,Dense Trees,Can run at speeds of up to 80 km/h.,No,Near Threatened
Snow Leopard,Pune,Deciduous Forest,monsoon,night,Sundarbans,Herbivore,Rocky Terrain,Survives in extreme cold temperatures.,No,
Golden Langur,Chennai,Mangrove,summer,afternoon,Nagarhole National Park,Insectivore,Water Bodies,Recognizable by its golden fur.,No,
Indian Cobra,Pune,Tropical Rainforest,summer,night,Periyar Wildlife Sanctuary,Herbivore,Burrows,Survives in extreme cold temperatures.,No,
Blackbuck,Jaipur,Tropical Rainforest,monsoon,afternoon,Kaziranga National Park,Herbivore,Burrows,One of the world's most elusive animals.,No,Least Concern
Snow Leopard,Lucknow,Himalayan Forest,monsoon,night,Kanha National Park,Omnivore,Rocky Terrain,"Can weigh up to 2,200 kg.",No,
Bengal Tiger,Ranchi,Himalayan Forest,summer,night,Kanha National Park,Carnivore,Rocky Terrain,Largest species of wild cattle.,No,
Indian Leopard,Shimla,Mangrove,summer,night,Jim Corbett National Park,Herbivore,Dense Trees,"Can weigh up to 2,200 kg.",No,Near Threatened
Asiatic Lion,Dehradun,Himalayan Forest,winter,night,Bandhavgarh National Park,Herbivore,Caves,Survives in extreme cold temperatures.,No,Critically Endangered
Indian Wolf,Hyderabad,Mangrove,winter,morning,Hemis National Park,Carnivore,Water Bodies,Can leap over 20 feet in a single bound.,No,
Asiatic Lion,Ranchi,Thorn Forest,monsoon,night,Nagarhole National Park,Omnivore,Grasslands,Largest species of wild cattle.,No,Critically Endangered
One-Horned Rhinoceros,Shimla,Himalayan Forest,monsoon,morning,Kanha National Park,Herbivore,Dense Trees,The longest venomous snake in the world.,No,Near Threatened
Red Panda,Mumbai,Deciduous Forest,summer,morning,Bandhavgarh National Park,Carnivore,Grasslands,Has the strongest bite force among big cats.,No,
Bengal Tiger,Pune,Deciduous Forest,monsoon,night,Nagarhole National Park,Carnivore,Water Bodies,Has the strongest bite force among big cats.,No,
Snow Leopard,Hyderabad,Mangrove,monsoon,night,Ranthambore National Park,Omnivore,Grasslands,"Can weigh up to 2,200 kg.",No,
Indian Elephant,Guwahati,Tropical Rainforest,winter,morning,Kaziranga National Park,Herbivore,Caves,Can run at speeds of up to 80 km/h.,No,
Sloth Bear,Bhopal,Thorn Forest,summer,afternoon,Ranthambore National Park,Omnivore,Caves,Its venom is neurotoxic and highly potent.,No,Near Threatened
Indian Leopard,Ranchi,Thorn Forest,monsoon,night,Hemis National Park,Insectivore,Rocky Terrain,Recognizable by its golden fur.,No,Near Threatened
Asiatic Lion,Guwahati,Thorn Forest,summer,afternoon,Ranthambore National Park,Herbivore,Dense Trees,Has the strongest bite force among big cats.,No,Critically Endangered
Gaur,Shimla,Himalayan Forest,monsoon,night,Bandhavgarh National Park,Omnivore,Grasslands,Recognizable by its golden fur.,No,
Blackbuck,Nagpur,Thorn Forest,monsoon,morning,Kaziranga National Park,Omnivore,Dense Trees,Has a beautifully patterned shell for camouflage.,No,Least Concern
Indian Elephant,Guwahati,Thorn Forest,monsoon,morning,Periyar Wildlife Sanctuary,Insectivore,Rocky Terrain,One of the world's most elusive animals.,No,
Sloth Bear,Nagpur,Thorn Forest,monsoon,night,Nagarhole National Park,Insectivore,Dense Trees,Largest species of wild cattle.,No,Near Threatened
Asiatic Lion,Delhi,Thorn Forest,monsoon,night,Jim Corbett National Park,Herbivore,Caves,Survives in extreme cold temperatures.,No,Critically Endangered
Sloth Bear,Dehradun,Tropical Rainforest,summer,afternoon,Gir Forest,Omnivore,Water Bodies,"Hunts in packs, similar to African wild dogs.",No,Near Threatened
Indian Elephant,Kolkata,Mangrove,monsoon,afternoon,Hemis National Park,Carnivore,Dense Trees,"Can weigh up to 2,200 kg.",No,
Indian Leopard,Lucknow,Thorn Forest,winter,night,Periyar Wildlife Sanctuary,Herbivore,Dense Trees,Can leap over 20 feet in a single bound.,No,Near Threatened
Sloth Bear,Dehradun,Himalayan Forest,winter,night,Gir Forest,Insectivore,Caves,"Hunts in packs, similar to African wild dogs.",No,Near Threatened
Blackbuck,Mumbai,Himalayan Forest,monsoon,morning,Kanha National Park,Insectivore,Dense Trees,The longest venomous snake in the world.,No,Least Concern
Indian Star Tortoise,Guwahati,Mangrove,monsoon,afternoon,Hemis National Park,Insectivore,Burrows,Has a beautifully patterned shell for camouflage.,No,
Indian Cobra,Dehradun,Thorn Forest,winter,afternoon,Periyar Wildlife Sanctuary,Insectivore,Rocky Terrain,"Can weigh up to 2,200 kg.",No,
Indian Wolf,Hyderabad,Himalayan Forest,winter,afternoon,Jim Corbett National Park,Insectivore,Water Bodies,Uses its long tongue to extract termites from nests.,No,
Gaur,Bengaluru,Mangrove,summer,morning,Sundarbans,Carnivore,Burrows,"Can weigh up to 2,200 kg.",No,
Snow Leopard,Delhi,Thorn Forest,winter,morning,Hemis National Park,Carnivore,Water Bodies,Largest species of wild cattle.,No,
Indian Leopard,Jaipur,Himalayan Forest,summer,night,Kaziranga National Park,Insectivore,Water Bodies,Recognizable by its golden fur.,No,Near Threatened
Red Panda,Ranchi,Deciduous Forest,summer,morning,Kaziranga National Park,Herbivore,Rocky Terrain,Has the strongest bite force among big cats.,No,
Indian Elephant,Shimla,Deciduous Forest,summer,morning,Periyar Wildlife Sanctuary,Herbivore,Water Bodies,"Hunts in packs, similar to African wild dogs.",No,
Indian Cobra,Jaipur,Mangrove,summer,afternoon,Kaziranga National Park,Herbivore,Caves,Can run at speeds of up to 80 km/h.,No,
Indian Wolf,Ranchi,Tropical Rainforest,monsoon,night,Sundarbans,Herbivore,Grasslands,"Can weigh up to 2,200 kg.",No,
Indian Star Tortoise,Chennai,Mangrove,monsoon,afternoon,Ranthambore National Park,Omnivore,Rocky Terrain,One of the world's most elusive animals.,No,
Snow Leopard,Shimla,Thorn Forest,monsoon,afternoon,Kanha National Park,Insectivore,Grasslands,Survives in extreme cold temperatures.,No,
One-Horned Rhinoceros,Delhi,Deciduous Forest,monsoon,night,Gir Forest,Omnivore,Grasslands,Has the strongest bite force among big cats.,No,Near Threatened
Red Panda,Bhopal,Deciduous Forest,winter,night,Ranthambore National Park,Omnivore,Water Bodies,Recognizable by its golden fur.,No,
One-Horned Rhinoceros,Ranchi,Mangrove,monsoon,night,Bandhavgarh National Park,Insectivore,Caves,Can run at speeds of up to 80 km/h.,No,Near Threatened
King Cobra,Shimla,Tropical Rainforest,monsoon,afternoon,Periyar Wildlife Sanctuary,Herbivore,Caves,Largest species of wild cattle.,No,
Gaur,Chennai,Deciduous Forest,winter,morning,Ranthambore National Park,Insectivore,Rocky Terrain,One of the world's most elusive animals.,No,
Indian Elephant,Chennai,Tropical Rainforest,summer,night,Nagarhole National Park,Omnivore,Rocky Terrain,Recognizable by its golden fur.,No,
One-Horned Rhinoceros,Pune,Tropical Rainforest,summer,night,Hemis National Park,Omnivore,Grasslands,The longest venomous snake in the world.,No,Near Threatened
Indian Star Tortoise,Mumbai,Deciduous Forest,monsoon,night,Gir Forest,Carnivore,Water Bodies,The only lion species found outside Africa.,No,
One-Horned Rhinoceros,Jaipur,Tropical Rainforest,summer,night,Ranthambore National Park,Omnivore,Rocky Terrain,Can leap over 20 feet in a single bound.,No,Near Threatened
Indian Elephant,Bengaluru,Thorn Forest,monsoon,afternoon,Kanha National Park,Omnivore,Rocky Terrain,Uses its long tongue to extract termites from nests.,No,
Indian Elephant,Delhi,Deciduous Forest,winter,night,Kaziranga National Park,Insectivore,Caves,Can communicate using low-frequency rumbles.,No,
Indian Star Tortoise,Dehradun,Tropical Rainforest,winter,afternoon,Kaziranga National Park,Omnivore,Rocky Terrain,Largest species of wild cattle.,No,
Indian Wolf,Guwahati,Thorn Forest,monsoon,morning,Sundarbans,Insectivore,Dense Trees,Its venom is neurotoxic and highly potent.,No,
Indian Wolf,Lucknow,Thorn Forest,summer,night,Jim Corbett National Park,Carnivore,Water Bodies,The longest venomous snake in the world.,No,
Indian Elephant,Shimla,Himalayan Forest,monsoon,night,Nagarhole National Park,Omnivore,Dense Trees,Its venom is neurotoxic and highly potent.,No,
One-Horned Rhinoceros,Dehradun,Deciduous Forest,summer,afternoon,Sundarbans,Omnivore,Grasslands,Has a beautifully patterned shell for camouflage.,No,Near Threatened
Indian Wolf,Delhi,Himalayan Forest,summer,night,Periyar Wildlife Sanctuary,Insectivore,Water Bodies,"Can weigh up to 2,200 kg.",No,
Blackbuck,Guwahati,Thorn Forest,winter,morning,Kanha National Park,Carnivore,Grasslands,The longest venomous snake in the world.,No,Least Concern
King Cobra,Mumbai,Mangrove,winter,night,Jim Corbett National Park,Insectivore,Caves,Can communicate using low-frequency rumbles.,No,
Indian Leopard,Delhi,Thorn Forest,monsoon,night,Jim Corbett National Park,Insectivore,Caves,Recognizable by its golden fur.,No,Near Threatened
Sloth Bear,Mumbai,Deciduous Forest,monsoon,night,Ranthambore National Park,Carnivore,Grasslands,Its venom is neurotoxic and highly potent.,No,Near Threatened
Indian Cobra,Ranchi,Mangrove,monsoon,morning,Sundarbans,Carnivore,Water Bodies,Its venom is neurotoxic and highly potent.,No,
King Cobra,Shimla,Mangrove,winter,morning,Bandhavgarh National Park,Insectivore,Grasslands,Recognizable by its golden fur.,No,
Asiatic Lion,Kolkata,Mangrove,winter,night,Bandhavgarh National Park,Carnivore,Caves,"Can weigh up to 2,200 kg.",No,Critically Endangered
Bengal Tiger,Ranchi,Himalayan Forest,monsoon,night,Ranthambore National Park,Herbivore,Caves,Has a beautifully patterned shell for camouflage.,No,
Gaur,Bhopal,Mangrove,winter,afternoon,Gir Forest,Herbivore,Dense Trees,Has the strongest bite force among big cats.,No,
Indian Cobra,Chennai,Himalayan Forest,winter,morning,Bandhavgarh National Park,Insectivore,Grasslands,Survives in extreme cold temperatures.,No,
Indian Leopard,Dehradun,Deciduous Forest,summer,night,Nagarhole National Park,Omnivore,Grasslands,Can run at speeds of up to 80 km/h.,No,Near Threatened
Golden Langur,Ranchi,Himalayan Forest,monsoon,night,Bandhavgarh National Park,Carnivore,Caves,"Can weigh up to 2,200 kg.",No,
Golden Langur,Chennai,Thorn Forest,winter,morning,Bandhavgarh National Park,Insectivore,Rocky Terrain,Can run at speeds of up to 80 km/h.,No,
Golden Langur,Jaipur,Mangrove,monsoon,morning,Hemis National Park,Insectivore,Burrows,Recognizable by its golden fur.,No,
Gaur,Dehradun,Mangrove,summer,night,Hemis National Park,Herbivore,Burrows,Survives in extreme cold temperatures.,No,
Indian Star Tortoise,Guwahati,Tropical Rainforest,monsoon,morning,Bandhavgarh National Park,Carnivore,Grasslands,Can run at speeds of up to 80 km/h.,No,
Blackbuck,Mumbai,Deciduous Forest,winter,afternoon,Bandhavgarh National Park,Carnivore,Dense Trees,Can run at speeds of up to 80 km/h.,No,Least Concern
King Cobra,Nagpur,Thorn Forest,summer,morning,Bandhavgarh National Park,Insectivore,Burrows,Its venom is neurotoxic and highly potent.,No,
Red Panda,Chennai,Thorn Forest,monsoon,morning,Jim Corbett National Park,Omnivore,Rocky Terrain,Can communicate using low-frequency rumbles.,No,
King Cobra,Jaipur,Deciduous Forest,monsoon,night,Nagarhole National Park,Omnivore,Burrows,"Hunts in packs, similar to African wild dogs.",No,
Asiatic Lion,Dehradun,Mangrove,monsoon,afternoon,Kaziranga National Park,Omnivore,Water Bodies,Can leap over 20 feet in a single bound.,No,Critically Endangered
Gaur,Delhi,Mangrove,monsoon,afternoon,Periyar Wildlife Sanctuary,Herbivore,Water Bodies,One of the world's most elusive animals.,No,
Bengal Tiger,Chennai,Deciduous Forest,monsoon,night,Kaziranga National Park,Herbivore,Dense Trees,Has the strongest bite force among big cats.,No,
Indian Star Tortoise,Mumbai,Mangrove,summer,afternoon,Kaziranga National Park,Herbivore,Rocky Terrain,Largest species of wild cattle.,No,
Golden Langur,Pune,Deciduous Forest,winter,morning,Ranthambore National Park,Insectivore,Rocky Terrain,Has a beautifully patterned shell for camouflage.,No,
Sloth Bear,Pune,Deciduous Forest,summer,morning,Periyar Wildlife Sanctuary,Carnivore,Rocky Terrain,Uses its long tongue to extract termites from nests.,No,Near Threatened
Gaur,Ranchi,Himalayan Forest,monsoon,morning,Bandhavgarh National Park,Omnivore,Grasslands,The longest venomous snake in the world.,No,
Indian Leopard,Shimla,Thorn Forest,winter,night,Gir Forest,Carnivore,Rocky Terrain,Recognizable by its golden fur.,No,Near Threatened
Gaur,Ranchi,Mangrove,monsoon,morning,Ranthambore National Park,Omnivore,Rocky Terrain,Largest species of wild cattle.,No,
Bengal Tiger,Jaipur,Tropical Rainforest,monsoon,night,Kanha National Park,Omnivore,Rocky Terrain,Its venom is neurotoxic and highly potent.,No,
Red Panda,Guwahati,Himalayan Forest,winter,morning,Ranthambore National Park,Herbivore,Caves,Has the strongest bite force among big cats.,No,
Golden Langur,Bengaluru,Mangrove,monsoon,night,Gir Forest,Herbivore,Grasslands,Can run at speeds of up to 80 km/h.,No,
One-Horned Rhinoceros,Shimla,Thorn Forest,summer,night,Ranthambore National Park,Herbivore,Grasslands,The longest venomous snake in the world.,No,Near Threatened
Red Panda,Bhopal,Himalayan Forest,summer,afternoon,Gir Forest,Carnivore,Water Bodies,The only lion species found outside Africa.,No,
Golden Langur,Ranchi,Thorn Forest,winter,morning,Bandhavgarh National Park,Insectivore,Grasslands,Has a beautifully patterned shell for camouflage.,No,
Indian Elephant,Jaipur,Mangrove,monsoon,morning,Ranthambore National Park,Insectivore,Caves,Uses its long tongue to extract termites from nests.,No,
Indian Elephant,Bengaluru,Tropical Rainforest,summer,afternoon,Kaziranga National Park,Carnivore,Water Bodies,The longest venomous snake in the world.,No,
Indian Star Tortoise,Dehradun,Himalayan Forest,winter,morning,Hemis National Park,Herbivore,Water Bodies,Can leap over 20 feet in a single bound.,No,
Indian Cobra,Nagpur,Himalayan Forest,monsoon,afternoon,Kaziranga National Park,Carnivore,Dense Trees,The longest venomous snake in the world.,No,
